Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,7,10,3,7,3,2,1,1,767,775
clearwater-tornadoes,21,6,11,3,6,1,4,2,"1,562",912
countryside-cougars,16,7,6,4,8,1,2,2,"1,218",939
dunedin-falcons,3,12,1,7,2,5,0,0,407,774
east-lake-eagles,5,13,1,6,2,6,2,1,635,928
gibbs-gladiators,1,12,1,7,0,5,0,0,307,778
hollins-royals,5,16,2,6,3,6,0,4,619,"1,034"
lakewood-spartans,26,5,10,0,14,1,2,4,"1,970","1,100"
largo-packers,0,15,0,9,0,6,0,0,320,889
northeast-vikings,16,12,6,5,10,6,0,1,"1,353","1,107"
seminole-warhawks,10,10,3,2,7,5,0,3,911,926
osceola-warriors,7,8,2,1,3,4,2,3,516,591
st-petersburg-green-devils,4,16,3,7,1,6,0,3,839,"1,104"
palm-harbor-university-hurricanes,22,9,8,1,11,3,3,5,"1,870","1,308"
tarpon-springs-spongers,8,14,4,3,3,10,1,1,775,952
pinellas-park-patriots,2,19,1,7,1,11,0,1,595,"1,246"
keswick-christian-crusaders,11,15,5,9,6,4,0,2,995,"1,104"
northside-christian-mustangs,12,11,6,4,4,5,2,2,948,967
canterbury-crusaders,11,10,5,5,5,4,1,1,611,727
calvary-christian-warriors,11,11,3,4,5,4,3,3,"1,219","1,204"
lakeside-christian-lions,7,12,5,4,2,7,0,1,558,829
st-petersburg-catholic-barons,6,18,3,7,3,9,0,2,872,"1,235"
indian-rocks-christian-golden-eagles,3,17,1,8,2,8,0,1,627,"1,185"
clearwater-central-catholic-marauders,17,9,8,5,7,4,2,0,"1,324","1,179"
admiral-farragut-blue-jackets,0,2,0,1,0,1,0,0,25,28
