Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,12,4,4,2,7,2,1,0,850,648
clearwater-tornadoes,24,5,10,0,8,4,6,1,"1,650","1,042"
countryside-cougars,7,7,6,3,1,3,0,1,551,615
dunedin-falcons,5,17,2,4,2,9,1,4,801,"1,149"
east-lake-eagles,22,6,9,1,12,3,1,2,"1,524","1,139"
gibbs-gladiators,6,7,2,4,4,2,0,1,548,664
hollins-royals,5,18,3,7,2,10,0,1,"1,017","1,146"
lakewood-spartans,20,5,8,1,8,2,4,2,"1,433",840
largo-packers,4,14,2,5,1,8,1,1,642,793
northeast-vikings,16,11,5,4,8,5,3,2,"1,132","1,058"
seminole-warhawks,12,10,5,3,3,5,4,2,751,890
osceola-warriors,0,15,0,7,0,7,0,1,286,864
st-petersburg-green-devils,6,12,4,4,2,7,0,1,525,720
palm-harbor-university-hurricanes,6,18,2,8,3,10,1,0,946,"1,271"
tarpon-springs-spongers,5,18,2,8,1,10,2,0,710,"1,048"
pinellas-park-patriots,4,9,1,4,3,4,0,1,609,686
keswick-christian-crusaders,12,12,8,5,3,6,1,1,"1,285","1,073"
northside-christian-mustangs,0,14,0,4,0,4,0,6,365,683
canterbury-crusaders,4,8,2,6,1,2,1,0,430,575
calvary-christian-warriors,16,5,6,2,9,1,1,2,"1,141",832
lakeside-christian-lions,6,8,3,4,3,3,0,1,526,542
st-petersburg-catholic-barons,20,6,12,1,3,3,5,2,"1,229",848
indian-rocks-christian-golden-eagles,9,7,6,4,1,2,2,1,745,670
clearwater-central-catholic-marauders,12,5,8,2,4,2,0,1,829,651
admiral-farragut-blue-jackets,5,2,2,0,2,2,1,0,269,187
