Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,19,6,10,1,6,2,3,3,"1,540","1,007"
clearwater-tornadoes,20,7,8,3,9,0,3,4,"1,727","1,087"
countryside-cougars,4,16,0,4,4,10,0,2,631,"1,109"
dunedin-falcons,8,11,4,7,4,4,0,0,563,734
east-lake-eagles,15,10,4,5,10,2,1,3,"1,306","1,011"
gibbs-gladiators,14,9,3,1,5,6,6,2,"1,075",850
hollins-royals,1,17,1,8,0,8,0,1,368,"1,000"
lakewood-spartans,16,10,7,4,6,3,3,3,"1,520",919
largo-packers,13,10,4,4,9,5,0,1,"1,128",977
northeast-vikings,18,9,9,5,5,3,4,1,"1,009",886
seminole-warhawks,10,10,4,5,5,4,1,1,847,832
osceola-warriors,3,14,1,7,1,6,1,1,293,847
st-petersburg-green-devils,14,8,5,3,7,3,2,2,917,799
palm-harbor-university-hurricanes,15,8,8,2,6,3,1,3,"1,021",930
tarpon-springs-spongers,0,22,0,7,0,11,0,4,338,"1,189"
pinellas-park-patriots,3,13,1,7,2,6,0,0,486,795
keswick-christian-crusaders,20,10,10,3,7,6,3,1,"1,710","1,283"
northside-christian-mustangs,1,17,1,8,0,9,0,0,399,790
canterbury-crusaders,3,15,0,4,3,8,0,3,625,990
calvary-christian-warriors,21,6,12,1,3,1,6,4,"1,474","1,078"
lakeside-christian-lions,13,9,7,3,6,2,0,4,917,845
st-petersburg-catholic-barons,9,15,6,8,1,4,2,3,793,907
indian-rocks-christian-golden-eagles,6,16,5,11,1,4,0,1,712,"1,006"
clearwater-central-catholic-marauders,13,10,8,2,3,4,2,4,956,819
admiral-farragut-blue-jackets,2,7,2,2,0,3,0,2,269,342
