Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,10,8,5,4,5,4,0,0,971,777
clearwater-tornadoes,21,3,8,1,9,0,4,2,"1,475",842
countryside-cougars,24,4,8,1,11,2,5,1,"1,716","1,048"
dunedin-falcons,2,14,0,5,2,9,0,0,492,"1,020"
east-lake-eagles,13,13,5,4,4,6,4,3,"1,238","1,236"
gibbs-gladiators,2,15,1,4,1,10,0,1,449,"1,105"
hollins-royals,4,18,2,7,1,10,1,1,698,"1,239"
lakewood-spartans,26,5,16,0,8,2,2,3,"2,258","1,041"
largo-packers,2,16,2,7,0,9,0,0,573,977
northeast-vikings,21,9,9,1,12,7,0,1,"1,587","1,235"
seminole-warhawks,1,16,1,9,0,7,0,0,422,971
osceola-warriors,9,11,3,5,4,6,2,0,767,"1,021"
st-petersburg-green-devils,13,10,6,3,6,4,1,3,"1,208","1,152"
palm-harbor-university-hurricanes,8,17,4,6,3,6,1,5,991,"1,239"
tarpon-springs-spongers,14,9,8,4,5,4,1,1,"1,191",883
pinellas-park-patriots,9,11,6,6,3,5,0,0,882,"1,063"
keswick-christian-crusaders,23,6,12,2,9,3,2,1,"1,562","1,026"
northside-christian-mustangs,11,14,8,6,3,7,0,1,"1,130","1,132"
canterbury-crusaders,4,5,2,4,2,1,0,0,227,253
calvary-christian-warriors,17,8,7,3,7,4,3,1,"1,383","1,143"
lakeside-christian-lions,7,15,3,7,3,8,1,0,441,860
st-petersburg-catholic-barons,7,16,6,5,1,9,0,2,955,"1,319"
indian-rocks-christian-golden-eagles,4,23,3,13,1,10,0,0,791,"1,437"
clearwater-central-catholic-marauders,3,18,3,7,0,10,0,1,635,"1,044"
admiral-farragut-blue-jackets,0,2,0,1,0,1,0,0,45,63
