Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,11,9,6,4,4,4,1,1,"1,177","1,192"
clearwater-tornadoes,17,3,10,1,6,1,1,1,"1,218",937
countryside-cougars,11,6,5,1,5,4,1,1,996,844
dunedin-falcons,2,12,1,5,1,7,0,0,636,912
east-lake-eagles,26,2,10,0,11,0,5,2,"2,064","1,313"
gibbs-gladiators,6,11,6,3,0,8,0,0,831,968
hollins-royals,13,6,8,0,4,5,1,1,"1,250","1,175"
lakewood-spartans,8,3,1,1,3,2,4,0,737,584
largo-packers,11,11,5,4,4,5,2,2,"1,307","1,280"
northeast-vikings,9,12,3,3,5,8,1,1,"1,158","1,255"
seminole-warhawks,8,9,4,4,4,4,0,1,"1,027",978
osceola-warriors,7,14,3,5,4,8,0,1,"1,127","1,193"
st-petersburg-green-devils,15,9,9,3,6,5,0,1,"1,477","1,381"
palm-harbor-university-hurricanes,5,16,3,7,2,7,0,2,"1,133","1,401"
tarpon-springs-spongers,5,15,0,8,5,5,0,2,817,"1,066"
pinellas-park-patriots,8,11,6,3,2,7,0,1,"1,102","1,082"
keswick-christian-crusaders,8,14,4,7,4,6,0,1,"1,223","1,440"
northside-christian-mustangs,12,14,8,9,3,4,1,1,"1,657","1,582"
canterbury-crusaders,13,12,8,8,3,1,2,3,"1,571","1,467"
calvary-christian-warriors,17,11,8,3,8,6,1,2,"2,001","1,919"
lakeside-christian-lions,9,14,4,7,4,6,1,1,"1,289","1,417"
st-petersburg-catholic-barons,17,9,7,3,9,5,1,1,"1,558","1,493"
indian-rocks-christian-golden-eagles,0,14,0,6,0,8,0,0,617,912
clearwater-central-catholic-marauders,8,14,5,7,3,6,0,1,984,"1,147"
admiral-farragut-blue-jackets,11,9,8,4,3,5,0,0,"1,193","1,105"
