Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,11,10,5,4,4,6,2,0,"1,222","1,096"
clearwater-tornadoes,19,8,13,3,5,2,1,3,"1,714","1,346"
countryside-cougars,10,15,4,4,4,6,2,5,"1,512","1,657"
dunedin-falcons,4,16,2,7,2,8,0,1,"1,036","1,288"
east-lake-eagles,24,5,9,1,9,1,6,3,"2,001","1,414"
gibbs-gladiators,17,12,7,1,9,3,1,8,"1,748","1,501"
hollins-royals,3,22,0,7,3,12,0,3,"1,284","1,677"
lakewood-spartans,27,4,10,2,8,0,9,2,"2,072","1,420"
largo-packers,11,12,5,4,2,6,4,2,"1,268","1,280"
northeast-vikings,12,14,3,7,4,5,5,2,"1,387","1,491"
seminole-warhawks,14,10,5,5,7,3,2,2,"1,473","1,332"
osceola-warriors,3,17,1,8,2,8,0,1,969,"1,375"
st-petersburg-green-devils,24,5,10,1,10,2,4,2,"1,942","1,485"
palm-harbor-university-hurricanes,12,13,6,3,5,6,1,4,"1,573","1,665"
tarpon-springs-spongers,1,18,1,8,0,10,0,0,580,"1,352"
pinellas-park-patriots,3,20,2,10,1,9,0,1,"1,099","1,593"
keswick-christian-crusaders,11,15,7,10,4,5,0,0,"1,515","1,665"
northside-christian-mustangs,5,18,3,7,1,7,1,4,"1,141","1,563"
canterbury-crusaders,16,13,6,5,7,3,3,5,"1,718","1,786"
calvary-christian-warriors,16,10,8,5,6,2,2,3,"1,639","1,425"
lakeside-christian-lions,13,10,6,4,6,5,1,1,"1,054","1,029"
st-petersburg-catholic-barons,11,15,6,3,4,7,1,5,"1,462","1,487"
indian-rocks-christian-golden-eagles,5,21,2,11,3,9,0,1,"1,306","1,569"
clearwater-central-catholic-marauders,16,11,7,4,5,6,4,1,"1,507","1,407"
admiral-farragut-blue-jackets,11,12,6,3,4,8,1,1,"1,434","1,426"
