Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,13,9,5,2,7,5,1,2,"1,463","1,381"
clearwater-tornadoes,24,5,9,3,5,2,10,0,"2,038","1,530"
countryside-cougars,13,11,5,5,5,3,3,3,"1,597","1,402"
dunedin-falcons,2,16,1,9,1,7,0,0,838,"1,348"
east-lake-eagles,26,4,10,1,5,1,11,2,"2,145","1,482"
gibbs-gladiators,12,14,6,4,5,8,1,2,"1,329","1,318"
hollins-royals,10,15,4,5,5,8,1,2,"1,411","1,627"
lakewood-spartans,24,6,12,0,5,2,7,4,"1,963","1,540"
largo-packers,10,14,3,5,4,6,3,3,"1,473","1,520"
northeast-vikings,2,23,0,10,1,11,1,2,"1,202","1,795"
seminole-warhawks,18,6,9,2,5,2,4,2,"1,557","1,290"
osceola-warriors,7,20,2,11,2,6,3,3,"1,507","1,872"
st-petersburg-green-devils,19,10,9,1,8,5,2,4,"1,872","1,713"
palm-harbor-university-hurricanes,11,14,4,4,4,6,3,4,"1,290","1,439"
tarpon-springs-spongers,5,16,2,6,2,10,1,0,894,"1,287"
pinellas-park-patriots,4,18,1,5,3,12,0,1,"1,197","1,477"
keswick-christian-crusaders,13,14,8,4,5,6,0,4,"1,467","1,586"
northside-christian-mustangs,5,14,2,6,3,8,0,0,"1,016","1,142"
canterbury-crusaders,6,20,5,7,1,9,0,4,"1,661","2,000"
calvary-christian-warriors,17,12,10,5,4,2,3,5,"1,906","1,543"
lakeside-christian-lions,19,7,9,3,9,2,1,2,"1,655","1,365"
st-petersburg-catholic-barons,15,12,10,3,4,7,1,2,"1,427","1,326"
indian-rocks-christian-golden-eagles,5,18,2,6,2,11,1,1,"1,277","1,516"
clearwater-central-catholic-marauders,19,9,11,4,5,4,3,1,"1,490","1,344"
admiral-farragut-blue-jackets,13,8,6,1,2,5,5,2,"1,213","1,081"
shorecrest-prep-chargers,15,12,8,6,5,5,2,1,"1,594","1,587"
