Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
boca-ciega-pirates,12,13,6,6,3,6,3,1,"1,424","1,414"
clearwater-tornadoes,14,8,4,3,6,1,4,4,"1,342","1,192"
countryside-cougars,16,7,5,2,9,4,2,1,"1,380","1,192"
dunedin-falcons,3,21,2,9,1,8,0,4,989,"1,438"
east-lake-eagles,16,11,4,4,10,6,2,1,"1,480","1,278"
gibbs-gladiators,21,9,8,1,5,4,8,4,"1,690","1,493"
hollins-royals,7,18,2,6,5,11,0,1,"1,145","1,387"
lakewood-spartans,12,15,9,6,3,6,0,3,"1,440","1,485"
largo-packers,16,10,8,3,5,5,3,2,"1,618","1,374"
northeast-vikings,11,15,6,6,1,7,4,2,"1,459","1,451"
seminole-warhawks,19,8,9,4,6,3,4,1,"1,522","1,376"
osceola-warriors,14,14,9,5,5,5,0,4,"1,400","1,368"
st-petersburg-green-devils,25,6,13,1,11,2,1,3,"2,052","1,699"
palm-harbor-university-hurricanes,5,18,1,7,3,8,1,3,"1,249","1,579"
tarpon-springs-spongers,0,20,0,10,0,10,0,0,587,962
pinellas-park-patriots,1,23,0,10,1,10,0,3,"1,126","1,796"
keswick-christian-crusaders,8,18,3,12,5,5,0,1,"1,368","1,616"
northside-christian-mustangs,18,10,7,3,9,4,2,3,"1,681","1,513"
canterbury-crusaders,17,12,6,2,7,7,4,3,"1,778","1,702"
calvary-christian-warriors,22,5,9,0,6,2,7,3,"1,871","1,461"
lakeside-christian-lions,16,11,8,4,7,4,1,3,"1,652","1,504"
st-petersburg-catholic-barons,11,15,5,6,4,7,2,2,"1,332","1,475"
indian-rocks-christian-golden-eagles,3,21,1,11,2,9,0,1,"1,103","1,511"
clearwater-central-catholic-marauders,7,12,3,6,3,5,1,1,880,"1,110"
admiral-farragut-blue-jackets,11,9,3,4,4,4,4,1,"1,155","1,061"
shorecrest-prep-chargers,16,6,8,2,6,4,2,0,"1,262","1,060"
