Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
Alonso-Ravens,15,11,8,3,3,7,4,1,"1,123",987
Armwood-Hawks,14,9,7,1,4,3,3,5,"1,397","1,004"
Blake-Yellow-Jackets,1,17,1,7,0,10,0,0,238,868
Bloomingdale-Bulls,25,6,9,1,10,2,6,3,"1,671","1,167"
Brandon-Eagles,0,19,0,8,0,11,0,0,239,"1,057"
Chamberlain-Chiefs,5,10,4,4,1,6,0,0,440,453
Durant-Cougars,20,5,10,0,9,2,1,3,"1,668",965
East-Bay-Indians,18,10,10,3,7,4,1,3,"1,187",968
Freedom-Patriots,4,14,4,4,0,10,0,0,404,"1,021"
Gaither-Cowboys,4,21,3,5,0,13,1,3,644,"1,148"
Hillsborough-Terriers,12,13,6,4,6,5,0,4,"1,339","1,148"
Jefferson-Dragons,9,14,6,4,3,7,0,3,916,"1,272"
King-Lions,6,16,3,6,3,10,0,0,496,929
Lennard-Longhorns,18,10,11,2,6,6,1,2,"1,422","1,064"
Leto-Falcons,9,10,4,6,5,4,0,0,739,793
Middleton-Tigers,13,8,9,4,4,4,0,0,852,761
Newsome-Wolves,17,10,4,4,9,5,4,1,"1,247",894
Plant-Panthers,23,5,8,2,8,1,7,2,"1,595","1,060"
Plant-City-Raiders,4,16,3,6,1,10,0,0,537,"1,023"
Riverview-Sharks,16,5,6,5,9,0,1,0,"1,058",698
Robinson-Knights,12,10,7,3,4,5,1,2,908,876
Sickles-Gryphons,11,15,6,4,3,8,2,3,"1,132","1,216"
Spoto-Spartans,2,17,2,6,0,10,0,1,408,"1,091"
Steinbrenner-Warriors,19,8,9,3,9,3,1,2,"1,609","1,134"
Strawberry-Crest-Chargers,1,18,1,8,0,10,0,0,391,"1,063"
Sumner-Stingrays,10,13,4,6,4,6,2,1,"1,027",932
Tampa-Bay-Tech-Titans,19,5,10,2,9,0,0,3,"1,393",801
Wharton-Wildcats,8,17,3,6,4,8,1,3,938,"1,157"
