Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
Alonso-Ravens,15,11,8,3,4,5,3,3,"1,136","1,115"
Armwood-Hawks,15,12,9,0,2,6,4,6,"1,514","1,180"
Blake-Yellow-Jackets,3,13,1,6,2,7,0,0,563,772
Bloomingdale-Bulls,19,7,9,1,8,3,2,3,"1,271",913
Brandon-Eagles,0,15,0,9,0,6,0,0,86,918
Chamberlain-Chiefs,16,12,9,2,5,7,2,3,994,979
Durant-Cougars,8,13,4,4,4,8,0,1,823,918
East-Bay-Indians,13,12,7,1,5,6,1,5,"1,123","1,098"
Freedom-Patriots,1,17,1,8,0,8,0,1,391,"1,058"
Gaither-Cowboys,3,22,1,8,2,9,0,5,458,"1,378"
Hillsborough-Terriers,11,10,5,4,5,4,1,2,926,853
Jefferson-Dragons,20,4,8,0,7,1,5,3,"1,190",718
King-Lions,3,15,1,7,2,7,0,1,512,909
Lennard-Longhorns,9,16,5,5,3,10,1,1,941,"1,054"
Leto-Falcons,4,16,1,8,3,7,0,1,616,976
Middleton-Tigers,9,11,5,5,4,6,0,0,648,675
Newsome-Wolves,16,11,9,3,5,5,2,3,"1,020","1,001"
Plant-Panthers,31,2,9,0,7,0,15,2,"2,137","1,049"
Plant-City-Raiders,4,18,2,7,1,7,1,4,886,"1,178"
Riverview-Sharks,14,8,6,4,7,3,1,1,"1,033",749
Robinson-Knights,9,14,3,7,5,5,1,2,970,"1,006"
Sickles-Gryphons,10,15,3,6,6,7,1,2,"1,082","1,148"
Spoto-Spartans,10,9,5,5,5,3,0,1,733,793
Steinbrenner-Warriors,14,13,6,4,6,6,2,3,"1,225","1,186"
Strawberry-Crest-Chargers,16,11,8,2,5,4,3,5,"1,564","1,159"
Sumner-Stingrays,0,0,0,0,0,0,0,0,0,0
Tampa-Bay-Tech-Titans,23,7,9,0,7,1,7,6,"1,826",979
Wharton-Wildcats,8,16,5,4,2,9,1,3,952,"1,191"
