Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
Alonso-Ravens,7,13,4,6,3,6,0,1,757,898
Armwood-Hawks,10,5,3,2,4,2,3,1,987,664
Blake-Yellow-Jackets,0,6,0,4,0,2,0,0,57,302
Bloomingdale-Bulls,15,7,5,3,8,2,2,2,"1,028",706
Brandon-Eagles,1,18,1,8,0,10,0,0,234,"1,133"
Chamberlain-Chiefs,9,9,3,2,5,5,1,2,633,606
Durant-Cougars,14,7,4,4,8,2,2,1,"1,014",700
East-Bay-Indians,10,6,5,2,4,3,1,1,776,646
Freedom-Patriots,0,1,0,0,0,1,0,0,0,2
Gaither-Cowboys,2,20,1,9,1,9,0,2,370,"1,098"
Hillsborough-Terriers,16,8,6,2,9,4,1,2,"1,305",858
Jefferson-Dragons,16,3,10,1,6,2,0,0,985,591
King-Lions,3,17,2,8,1,8,0,1,509,"1,029"
Lennard-Longhorns,12,9,7,3,5,5,0,1,954,888
Leto-Falcons,6,13,3,6,3,5,0,2,726,902
Middleton-Tigers,9,10,4,4,4,6,1,0,692,664
Newsome-Wolves,14,7,4,4,6,2,4,1,776,655
Plant-Panthers,26,3,10,0,8,0,8,3,"1,800",920
Plant-City-Raiders,3,16,2,6,1,9,0,1,556,946
Riverview-Sharks,15,6,9,1,5,4,1,1,"1,111",717
Robinson-Knights,12,10,5,3,5,7,2,0,917,863
Sickles-Gryphons,5,19,2,7,3,11,0,1,856,"1,114"
Spoto-Spartans,5,12,5,4,0,7,0,1,502,743
Steinbrenner-Warriors,20,9,9,3,8,4,3,2,"1,383","1,123"
Strawberry-Crest-Chargers,5,14,3,6,1,8,1,0,661,932
Sumner-Stingrays,4,16,3,6,1,9,0,1,464,986
Tampa-Bay-Tech-Titans,10,3,4,2,5,0,1,1,772,497
Wharton-Wildcats,18,5,9,1,8,2,1,2,"1,152",999
