Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
Alonso-Ravens,16,7,8,1,7,2,1,4,"1,004",780
Armwood-Hawks,25,2,10,1,11,1,4,0,"1,666",825
Blake-Yellow-Jackets,3,15,1,7,2,7,0,1,465,953
Bloomingdale-Bulls,12,13,6,5,6,3,0,5,958,"1,051"
Brandon-Eagles,0,16,0,9,0,7,0,0,47,249
Chamberlain-Chiefs,18,11,9,3,4,5,5,3,"1,054","1,005"
Durant-Cougars,7,14,4,6,2,7,1,1,815,936
East-Bay-Indians,7,17,2,7,4,6,1,4,904,"1,168"
Freedom-Patriots,17,9,7,3,6,3,4,3,"1,080","1,094"
Gaither-Cowboys,1,21,1,10,0,10,0,1,438,"1,238"
Hillsborough-Terriers,2,20,1,10,1,7,0,3,548,"1,125"
Jefferson-Dragons,20,6,9,1,5,3,6,2,"1,210",823
King-Lions,7,14,3,7,4,6,0,1,594,"1,079"
Lennard-Longhorns,10,17,3,6,6,10,1,1,"1,034","1,148"
Leto-Falcons,2,19,1,8,1,10,0,1,718,"1,125"
Middleton-Tigers,8,12,6,3,2,8,0,1,727,777
Newsome-Wolves,14,9,4,4,6,4,4,1,849,726
Plant-Panthers,25,5,8,0,11,0,6,5,"1,731",903
Plant-City-Raiders,1,22,1,7,0,10,0,5,613,"1,342"
Riverview-Sharks,9,14,3,5,5,7,1,2,842,885
Robinson-Knights,19,5,9,0,9,1,1,4,"1,264",853
Sickles-Gryphons,6,17,2,7,3,5,1,5,842,"1,082"
Spoto-Spartans,10,10,6,3,4,6,0,1,761,784
Steinbrenner-Warriors,10,17,4,6,4,6,2,5,"1,278","1,316"
Strawberry-Crest-Chargers,22,7,7,2,9,1,6,4,"1,435","1,164"
Sumner-Stingrays,0,0,0,0,0,0,0,0,0,0
Tampa-Bay-Tech-Titans,29,3,8,1,9,0,12,2,"2,028",981
Wharton-Wildcats,8,13,3,7,5,5,0,1,775,858
