Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
Alonso-Ravens,22,3,12,0,8,2,2,1,"1,465",772
Armwood-Hawks,15,7,6,1,5,5,4,1,"1,170",727
Blake-Yellow-Jackets,1,20,1,8,0,11,0,1,538,"1,159"
Bloomingdale-Bulls,19,7,9,3,7,3,3,1,"1,205","1,004"
Brandon-Eagles,1,16,1,6,0,10,0,0,390,967
Chamberlain-Chiefs,14,13,7,5,5,4,2,4,966,930
Durant-Cougars,6,14,4,5,2,8,0,1,722,964
East-Bay-Indians,5,17,3,6,0,8,2,3,794,"1,089"
Freedom-Patriots,9,13,4,5,3,7,2,1,782,996
Gaither-Cowboys,6,14,4,6,2,7,0,1,836,"1,108"
Hillsborough-Terriers,8,13,5,4,2,8,1,1,778,956
Jefferson-Dragons,5,15,3,5,2,10,0,0,763,908
King-Lions,10,10,5,5,5,4,0,1,885,929
Lennard-Longhorns,11,9,7,3,4,5,0,1,765,710
Leto-Falcons,0,20,0,9,0,10,0,1,539,"1,112"
Middleton-Tigers,9,11,6,4,3,6,0,1,632,843
Newsome-Wolves,11,9,7,4,4,5,0,0,694,687
Plant-Panthers,26,2,12,0,9,2,5,0,"1,708",859
Plant-City-Raiders,14,11,6,4,6,4,2,3,"1,109","1,232"
Riverview-Sharks,7,13,3,6,4,7,0,0,640,841
Robinson-Knights,22,3,15,1,6,2,1,0,"1,504",858
Sickles-Gryphons,7,19,4,4,2,9,1,6,879,"1,293"
Spoto-Spartans,7,13,2,6,4,7,1,0,765,802
Steinbrenner-Warriors,15,10,6,3,8,2,1,5,"1,252","1,100"
Strawberry-Crest-Chargers,11,12,6,4,4,7,1,1,"1,068","1,155"
Sumner-Stingrays,0,0,0,0,0,0,0,0,0,0
Tampa-Bay-Tech-Titans,26,4,12,0,10,2,4,2,"1,885",983
Wharton-Wildcats,9,14,5,5,2,8,2,1,793,968
