Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
alonso-ravens,24,5,14,1,6,2,4,2,"1,856","1,471"
armwood-hawks,7,19,4,5,1,11,2,3,"1,387","1,565"
blake-yellow-jackets,11,12,5,4,5,6,1,2,"1,397","1,449"
bloomingdale-bulls,3,21,1,9,1,11,1,1,947,"1,196"
brandon-eagles,6,13,4,4,2,7,0,2,956,"1,122"
chamberlain-chiefs,4,20,2,7,0,8,2,5,"1,098","1,421"
durant-cougars,9,13,3,6,4,6,2,1,"1,374","1,482"
east-bay-indians,6,17,1,8,4,5,1,4,"1,249","1,397"
freedom-patriots,25,4,10,0,13,3,2,1,"1,733","1,405"
gaither-cowboys,5,18,3,7,2,8,0,3,"1,005","1,406"
hillsborough-terriers,28,3,13,0,9,0,6,3,"2,017","1,355"
jefferson-dragons,8,17,2,7,2,8,4,2,"1,294","1,500"
king-lions,15,13,4,5,8,7,3,1,"1,728","1,808"
lennard-longhorns,15,11,5,4,6,4,4,3,"1,559","1,555"
leto-falcons,1,21,1,10,0,8,0,3,"1,004","1,290"
middleton-tigers,2,18,2,8,0,9,0,1,898,"1,196"
newsome-wolves,13,10,5,2,5,7,3,1,"1,066","1,089"
plant-panthers,17,10,9,2,5,5,3,3,"1,619","1,402"
plant-city-raiders,16,11,7,4,8,2,1,5,"1,520","1,375"
riverview-sharks,16,10,5,4,7,5,4,1,"1,594","1,417"
robinson-knights,13,12,7,2,4,7,2,3,"1,324","1,468"
sickles-gryphons,11,15,4,6,4,7,3,2,"1,366","1,473"
spoto-spartans,9,12,5,4,3,7,1,1,"1,326","1,373"
steinbrenner-warriors,6,20,2,6,3,10,1,4,"1,587","1,858"
strawberry-crest-chargers,15,10,4,5,9,2,2,3,"1,485","1,444"
tampa-bay-tech-titans,18,8,8,2,8,4,2,2,"1,709","1,425"
wharton-wildcats,26,5,11,1,9,2,6,2,"2,205","1,517"
