Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
alonso-ravens,22,7,10,2,10,2,2,3,"1,824","1,416"
armwood-hawks,4,20,1,6,1,9,2,5,"1,292","1,610"
blake-yellow-jackets,14,8,7,4,7,4,0,0,"1,260","1,246"
bloomingdale-bulls,17,12,5,6,12,3,0,3,"1,431","1,315"
brandon-eagles,4,17,1,9,3,8,0,0,985,"1,410"
chamberlain-chiefs,7,18,3,5,2,8,2,5,"1,279","1,527"
durant-cougars,12,14,4,1,6,10,2,3,"1,815","1,706"
east-bay-indians,9,13,4,4,5,8,0,1,"1,045","1,124"
freedom-patriots,13,9,6,4,6,3,1,2,"1,292","1,286"
gaither-cowboys,14,14,7,2,5,7,2,5,"1,703","1,687"
hillsborough-terriers,17,11,6,4,7,5,4,2,"1,720","1,729"
jefferson-dragons,1,24,1,7,0,11,0,6,"1,170","1,682"
king-lions,19,11,7,2,6,3,6,6,"1,878","1,714"
lennard-longhorns,7,17,4,6,1,10,2,1,"1,280","1,537"
leto-falcons,17,10,6,3,6,4,5,3,"1,791","1,590"
middleton-tigers,7,13,3,8,3,5,1,0,"1,103","1,169"
newsome-wolves,18,8,9,2,8,3,1,3,"1,454","1,321"
plant-panthers,17,9,5,3,9,3,3,3,"1,441","1,299"
plant-city-raiders,20,8,11,1,6,3,3,4,"1,727","1,464"
riverview-sharks,2,17,0,9,2,7,0,1,985,"1,167"
robinson-knights,8,16,4,4,3,9,1,3,"1,419","1,545"
sickles-gryphons,19,8,9,2,8,3,2,3,"1,800","1,543"
spoto-spartans,4,17,2,7,2,9,0,1,"1,083","1,313"
steinbrenner-warriors,9,14,4,6,2,7,3,1,"1,238","1,335"
strawberry-crest-chargers,15,12,8,3,5,8,2,1,"1,612","1,532"
sumner-stingrays,17,9,8,3,5,4,4,2,"1,540","1,421"
tampa-bay-tech-titans,1,26,1,7,0,12,0,7,"1,253","1,621"
wharton-wildcats,28,3,13,1,9,0,6,2,"1,795","1,349"
