Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
alonso-ravens,23,6,12,0,6,4,5,2,"1,718","1,428"
armwood-hawks,12,6,5,2,7,3,0,1,"1,135","1,008"
blake-yellow-jackets,13,5,6,1,6,2,1,2,"1,042",885
bloomingdale-bulls,11,10,8,1,2,6,1,3,964,919
brandon-eagles,2,20,0,8,2,12,0,0,957,"1,337"
chamberlain-chiefs,6,13,4,3,2,9,0,1,866,978
durant-cougars,20,6,8,3,8,1,4,2,"1,657","1,349"
east-bay-indians,10,9,5,2,4,6,1,1,975,978
freedom-patriots,12,9,7,2,4,5,1,2,"1,226","1,174"
gaither-cowboys,7,13,1,5,4,6,2,2,"1,054","1,204"
hillsborough-terriers,10,12,5,2,2,8,3,2,"1,359","1,249"
jefferson-dragons,4,22,3,9,0,12,1,1,"1,143","1,588"
king-lions,6,19,4,6,2,13,0,0,"1,343","1,620"
lennard-longhorns,0,17,0,8,0,8,0,1,603,"1,129"
leto-falcons,9,17,3,6,5,6,1,5,"1,493","1,595"
middleton-tigers,5,10,3,4,2,6,0,0,678,827
newsome-wolves,9,14,4,7,4,6,1,1,"1,044","1,128"
plant-panthers,9,14,2,7,5,6,2,1,"1,118","1,181"
plant-city-raiders,17,7,10,1,4,4,3,2,"1,559","1,344"
riverview-sharks,4,11,2,4,1,7,1,0,846,938
robinson-knights,18,5,10,2,8,2,0,1,"1,535","1,276"
sickles-gryphons,14,12,6,4,7,6,1,2,"1,627","1,570"
spoto-spartans,3,17,3,7,0,10,0,0,"1,168","1,358"
steinbrenner-warriors,14,13,5,5,8,7,1,1,"1,516","1,449"
strawberry-crest-chargers,9,15,3,5,5,8,1,2,"1,430","1,511"
sumner-stingrays,11,9,6,4,5,4,0,1,"1,083","1,065"
tampa-bay-tech-titans,9,6,7,1,2,4,0,1,763,746
wharton-wildcats,21,6,10,1,11,5,0,0,"1,331","1,089"
