Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
alonso-ravens,21,7,9,4,9,2,3,1,"1,693","1,407"
armwood-hawks,11,9,5,3,4,5,2,1,"1,184","1,164"
blake-yellow-jackets,3,17,2,7,1,9,0,1,"1,012","1,368"
bloomingdale-bulls,9,13,5,3,3,7,1,3,"1,275","1,281"
brandon-eagles,7,17,4,6,1,7,2,4,"1,188","1,386"
chamberlain-chiefs,7,17,5,4,1,10,1,3,892,"1,219"
durant-cougars,8,15,3,7,4,8,1,0,"1,260","1,312"
east-bay-indians,11,12,5,4,2,5,4,3,"1,443","1,438"
freedom-patriots,9,11,4,5,4,5,1,1,"1,111","1,133"
gaither-cowboys,0,20,0,10,0,9,0,1,742,"1,342"
hillsborough-terriers,25,6,11,0,9,2,5,4,"1,891","1,394"
jefferson-dragons,5,17,3,6,1,9,1,2,"1,136","1,246"
king-lions,13,12,5,4,7,5,1,3,"1,370","1,481"
lennard-longhorns,7,15,5,4,2,9,0,2,"1,265","1,424"
leto-falcons,3,21,1,7,1,10,1,4,"1,047","1,393"
middleton-tigers,1,20,0,9,1,10,0,1,852,"1,347"
newsome-wolves,14,12,8,3,4,5,2,4,"1,293","1,249"
plant-panthers,23,6,11,0,8,5,4,1,"1,751","1,404"
plant-city-raiders,23,5,10,2,10,1,3,2,"1,871","1,535"
riverview-sharks,9,14,4,5,3,8,2,1,"1,269","1,405"
robinson-knights,7,17,3,6,3,9,1,2,"1,313","1,443"
sickles-gryphons,20,7,8,1,7,5,5,1,"1,687","1,339"
spoto-spartans,14,8,6,3,8,4,0,1,"1,405","1,272"
steinbrenner-warriors,9,17,3,7,4,7,2,3,"1,331","1,532"
strawberry-crest-chargers,12,16,5,5,3,7,4,4,"1,568","1,763"
tampa-bay-tech-titans,22,11,9,2,10,4,3,5,"2,305","1,938"
wharton-wildcats,23,6,13,1,7,3,3,2,"1,830","1,352"
