Team Name,Overall Wins,Overall Losses,Home Wins,Home Losses,Away Wins,Away Losses,Neutral Wins,Neutral Losses,Points For,Points Against
alonso-ravens,11,16,3,7,5,6,3,3,"1,506","1,532"
armwood-hawks,11,9,5,3,5,3,1,3,"1,241","1,114"
blake-yellow-jackets,22,6,10,0,7,3,5,3,"1,951","1,548"
bloomingdale-bulls,15,11,5,5,7,4,3,2,"1,135","1,096"
brandon-eagles,8,8,5,3,3,4,0,1,856,964
chamberlain-chiefs,14,9,6,3,5,5,3,1,"1,189","1,089"
durant-cougars,7,18,4,4,3,10,0,4,"1,322","1,579"
east-bay-indians,8,15,4,3,1,9,3,3,"1,227","1,338"
freedom-patriots,6,19,2,5,2,11,2,3,"1,088","1,317"
gaither-cowboys,8,16,4,4,1,10,3,2,"1,367","1,636"
hillsborough-terriers,22,8,9,1,6,3,7,4,"1,941","1,616"
jefferson-dragons,4,22,2,6,1,8,1,8,"1,139","1,583"
king-lions,5,20,1,8,2,11,2,1,"1,091","1,485"
lennard-longhorns,16,10,4,5,10,4,2,1,"1,840","1,488"
leto-falcons,5,19,3,7,0,9,2,3,"1,244","1,537"
middleton-tigers,5,15,4,6,1,9,0,0,"1,015","1,204"
newsome-wolves,15,9,7,3,5,4,3,2,"1,127","1,063"
plant-panthers,16,10,5,3,8,3,3,4,"1,389","1,286"
plant-city-raiders,7,18,3,5,3,7,1,6,"1,252","1,461"
riverview-sharks,19,6,8,1,8,3,3,2,"1,502","1,246"
robinson-knights,9,14,4,6,4,5,1,3,"1,356","1,465"
sickles-gryphons,20,7,5,2,9,3,6,2,"1,727","1,421"
spoto-spartans,2,16,2,6,0,10,0,0,955,"1,288"
steinbrenner-warriors,4,22,1,8,2,11,1,3,"1,228","1,695"
strawberry-crest-chargers,1,25,1,10,0,8,0,7,"1,150","1,820"
tampa-bay-tech-titans,14,11,7,3,5,6,2,2,"1,519","1,277"
wharton-wildcats,25,4,11,1,10,3,4,0,"1,754","1,240"
